2,[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4,[9, 9, 9, 9, 9, 9, 9, 4, 5, 9, 3, 9, 5, 22, 9, 9, 9, 34, 9, 1]
6,[41, 20, 19, 3, 20, 20, 5, 30, 1, 20, 1, 20, 5, 8, 3, 1, 20, 1, 23, 1]
7,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9,[1, 1, 4, 1, 15, 4, 15, 5, 48, 1, 20, 4, 20, 1, 1, 1, 5, 1, 41, 1]
10,[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]
11,[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 20, 8, 8, 8, 8]
13,[8, 9, 32, 39, 9, 18, 1, 40, 1, 32, 32, 6, 8, 4, 9, 32, 5, 4, 23, 1]
15,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16,[9, 9, 9, 9, 9, 9, 9, 5, 9, 9, 4, 4, 9, 9, 9, 4, 9, 9, 9, 9]
17,[19, 19, 19, 14, 14, 19, 9, 4, 4, 19, 14, 8, 14, 14, 9, 19, 19, 19, 14, 19]
18,[25, 25, 3, 25, 25, 25, 18, 18, 1, 25, 25, 1, 5, 25, 25, 5, 25, 5, 3, 25]
19,[4, 1, 5, 1, 1, 1, 1, 1, 18, 1, 11, 5, 5, 1, 0, 1, 1, 1, 48, 5]
20,[5, 4, 4, 4, 4, 5, 4, 3, 4, 5, 4, 4, 5, 4, 5, 5, 4, 5, 4, 5]
21,[19, 4, 1, 25, 19, 8, 4, 5, 4, 4, 8, 4, 5, 19, 0, 7, 19, 7, 19, 8]
23,[23, 23, 1, 9, 23, 23, 8, 9, 23, 23, 23, 23, 23, 23, 23, 4, 23, 8, 23, 21]
24,[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45]
25,[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4]
26,[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]
28,[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 4, 20, 20, 20, 20, 20, 20]
35,[4, 4, 1, 1, 11, 1, 1, 1, 29, 1, 11, 4, 1, 1, 4, 1, 1, 5, 4, 13]
38,[5, 6, 4, 6, 19, 1, 21, 2, 6, 4, 4, 7, 4, 19, 4, 28, 1, 9, 4, 19]
39,[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
40,[19, 9, 9, 1, 1, 20, 9, 1, 4, 19, 1, 6, 21, 19, 20, 1, 23, 14, 19, 14]
42,[4, 9, 4, 9, 3, 9, 0, 0, 5, 9, 9, 4, 9, 9, 4, 22, 5, 23, 19, 0]
43,[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 55, 9, 20, 9, 9, 9]
44,[30, 30, 30, 30, 35, 30, 30, 30, 35, 35, 35, 30, 30, 39, 35, 23, 3, 30, 30, 35]
47,[19, 7, 4, 7, 41, 19, 7, 1, 26, 1, 1, 19, 4, 46, 19, 4, 4, 5, 19, 18]
52,[20, 20, 7, 5, 7, 7, 7, 25, 4, 7, 20, 20, 20, 6, 43, 7, 14, 20, 7, 20]
53,[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 2, 23, 23, 23, 23, 23, 23, 23, 23]
54,[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 35, 9, 9, 9, 4, 9, 9, 9]
55,[1, 19, 19, 19, 28, 18, 1, 19, 18, 19, 1, 1, 19, 1, 19, 19, 19, 19, 19, 1]
56,[45, 45, 45, 6, 5, 45, 45, 9, 1, 45, 5, 45, 9, 45, 6, 45, 5, 18, 9, 8]
58,[8, 30, 8, 8, 8, 18, 8, 8, 18, 8, 8, 1, 8, 8, 17, 8, 4, 23, 8, 1]
59,[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]
60,[23, 23, 23, 23, 23, 23, 1, 1, 23, 23, 23, 23, 23, 23, 23, 23, 1, 23, 1, 23]
61,[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
63,[3, 5, 1, 48, 0, 3, 0, 3, 25, 39, 5, 22, 5, 3, 3, 22, 4, 8, 5, 5]
67,[17, 9, 4, 30, 9, 6, 5, 30, 9, 5, 18, 5, 9, 23, 5, 4, 5, 30, 9, 9]
68,[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
69,[4, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 4, 9, 9, 4, 9, 4, 9, 9, 9]
70,[35, 4, 4, 35, 35, 4, 4, 35, 4, 35, 4, 35, 4, 1, 35, 1, 1, 35, 1, 4]
71,[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]
72,[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
73,[1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1]
76,[43, 3, 11, 1, 11, 43, 43, 43, 1, 43, 40, 19, 43, 43, 0, 1, 43, 43, 3, 1]
77,[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]
79,[4, 9, 4, 4, 4, 9, 14, 20, 4, 4, 23, 4, 5, 1, 4, 19, 8, 19, 4, 4]
81,[8, 8, 8, 8, 8, 8, 0, 4, 8, 4, 36, 5, 15, 8, 8, 5, 8, 23, 8, 36]
82,[1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 4, 1, 4, 1, 18, 1]
83,[17, 17, 4, 5, 28, 17, 5, 17, 1, 20, 1, 1, 4, 3, 20, 5, 4, 5, 6, 1]
85,[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]
88,[4, 6, 5, 42, 18, 42, 5, 21, 39, 6, 39, 42, 7, 6, 4, 42, 18, 6, 1, 14]
89,[1, 1, 39, 39, 41, 1, 1, 41, 4, 39, 3, 39, 8, 41, 41, 41, 8, 1, 4, 4]
95,[1, 1, 48, 1, 43, 1, 43, 4, 1, 43, 43, 1, 25, 1, 48, 5, 1, 1, 1, 1]
96,[3, 3, 13, 13, 3, 13, 13, 3, 3, 13, 3, 5, 1, 3, 13, 1, 22, 18, 22, 5]
97,[1, 20, 20, 4, 20, 20, 4, 4, 5, 4, 4, 1, 1, 1, 9, 20, 20, 1, 1, 30]
101,[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
