2,[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
4,[9, 9, 18, 9, 9, 9, 9, 3, 1, 9, 9, 1, 18, 18, 40, 9, 9, 9, 9, 9]
6,[1, 3, 9, 8, 28, 1, 13, 13, 1, 26, 19, 28, 41, 18, 13, 19, 20, 4, 20, 41]
7,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
9,[1, 1, 1, 9, 1, 4, 35, 4, 4, 1, 1, 1, 1, 22, 4, 1, 4, 35, 4, 1]
10,[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]
11,[8, 8, 8, 8, 8, 8, 3, 8, 8, 8, 8, 8, 1, 8, 8, 8, 3, 8, 8, 8]
13,[4, 19, 19, 19, 4, 19, 28, 1, 43, 5, 30, 7, 32, 28, 43, 8, 5, 4, 28, 48]
15,[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
16,[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 0, 9, 5]
17,[5, 4, 19, 22, 5, 1, 5, 5, 19, 23, 5, 4, 5, 28, 1, 5, 8, 1, 1, 0]
18,[25, 25, 25, 25, 1, 25, 20, 25, 20, 11, 25, 20, 35, 0, 1, 8, 0, 1, 0, 25]
19,[1, 1, 3, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 3, 1, 1, 39, 1, 1, 4]
20,[4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 4, 4, 4, 4]
21,[1, 4, 1, 1, 4, 5, 1, 1, 22, 39, 1, 5, 5, 9, 4, 1, 1, 5, 4, 9]
23,[9, 9, 5, 8, 5, 9, 9, 9, 5, 4, 9, 9, 5, 3, 9, 8, 23, 11, 9, 9]
24,[45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45]
25,[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1]
26,[23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23]
28,[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 1, 20, 20, 20, 20, 20, 20, 20, 20, 20]
35,[1, 11, 1, 1, 4, 0, 43, 0, 43, 43, 4, 0, 11, 4, 1, 1, 4, 4, 4, 1]
38,[29, 6, 4, 4, 4, 4, 1, 9, 4, 6, 4, 1, 3, 4, 4, 4, 4, 4, 4, 22]
39,[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 9, 4, 4, 0, 4, 4, 4]
40,[0, 1, 1, 1, 8, 5, 1, 0, 11, 1, 40, 1, 0, 1, 4, 39, 9, 0, 9, 14]
42,[23, 7, 4, 19, 4, 25, 30, 19, 9, 4, 9, 9, 3, 4, 6, 3, 23, 9, 23, 4]
43,[9, 9, 9, 9, 9, 9, 9, 9, 9, 4, 9, 9, 9, 9, 9, 9, 19, 9, 9, 9]
44,[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 3, 30, 8, 30, 30, 20, 4]
47,[43, 43, 43, 4, 5, 7, 43, 7, 1, 5, 43, 0, 5, 7, 43, 39, 4, 23, 1, 4]
52,[20, 5, 5, 7, 20, 7, 23, 5, 25, 7, 20, 20, 7, 45, 7, 45, 4, 7, 20, 5]
53,[2, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 2, 23, 23, 23, 23]
54,[9, 9, 30, 9, 23, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 1, 9, 9, 9]
55,[1, 1, 3, 31, 1, 1, 8, 1, 19, 4, 31, 1, 1, 31, 0, 1, 31, 1, 31, 31]
56,[5, 18, 45, 18, 18, 5, 1, 5, 6, 40, 5, 5, 5, 45, 45, 19, 18, 18, 11, 19]
58,[8, 8, 5, 8, 8, 4, 8, 25, 8, 39, 8, 8, 8, 8, 8, 8, 0, 8, 7, 4]
59,[30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30, 30]
