0,[0, 0, 4, 0, 27, 49, 4, 11, 8, 0, 0, 0, 29, 8, 1, 12, 0, 0, 8, 5, 6, 7, 6, 13, 0, 4, 0, 9, 1, 6, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 25, 11, 11, 12, 12, 0, 8, 8, 8, 8, 8, 0, 0, 9, 2, 8, 2, 1, 0, 10, 16, 1, 0, 0, 8, 7, 20, 1, 12, 0, 0, 0, 24, 24, 24, 24, 24, 35, 0, 2, 25, 12, 13, 0, 2, 7, 6, 6, 1, 25, 0, 0, 6, 0, 10, 10, 4, 18, 7]
1,[1, 7, 1, 49, 1, 28, 0, 0, 0, 1, 4, 27, 1, 0, 1, 1, 1, 8, 31, 33, 16, 5, 1, 14, 1, 31, 0, 16, 16, 0, 16, 18, 1, 4, 25, 0, 4, 7, 7, 7, 7, 4, 16, 16, 16, 1, 1, 0, 4, 33, 6, 0, 18, 4, 0, 25, 0, 9, 18, 12, 18, 16, 16, 2, 7, 11, 11, 18, 18, 33, 33, 18, 9, 18, 18, 16, 0, 0, 18, 1, 0, 5, 0, 1, 25, 49, 16, 0, 4, 18, 18, 30, 30, 8, 1, 8, 3, 3, 3, 3]
2,[2, 0, 20, 0, 11, 4, 4, 2, 2, 1, 0, 1, 6, 6, 4, 23, 46, 7, 0, 0, 0, 0, 0, 0, 4, 16, 2, 1, 16, 8, 25, 13, 28, 4, 16, 8, 4, 17, 0, 0, 16, 14, 0, 23, 23, 23, 0, 0, 1, 0, 0, 0, 23, 0, 2, 6, 4, 4, 6, 1, 4, 23, 23, 14, 25, 0, 8, 1, 12, 11, 2, 7, 6, 11, 24, 24, 23, 4, 8, 22, 7, 16, 0, 2, 7, 4, 8, 13, 13, 14, 16, 14, 14, 1, 28, 28, 28, 2, 2, 2]
3,[1, 0, 0, 0, 0, 8, 0, 1, 1, 19, 7, 0, 0, 4, 0, 0, 6, 0, 31, 2, 1, 6, 49, 1, 0, 0, 4, 1, 12, 12, 0, 2, 1, 1, 5, 2, 0, 1, 12, 12, 24, 24, 2, 0, 31, 0, 4, 0, 0, 1, 0, 37, 7, 1, 6, 0, 0, 1, 0, 0, 8, 1, 31, 31, 23, 4, 4, 0, 11, 4, 4, 4, 12, 12, 0, 18, 29, 29, 29, 1, 0, 2, 4, 0, 20, 2, 1, 2, 6, 0, 11, 11, 11, 24, 2, 2, 8, 0, 19, 0]
4,[0, 0, 0, 0, 8, 4, 2, 1, 1, 1, 1, 0, 1, 4, 1, 9, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 7, 2, 8, 6, 1, 16, 0, 0, 0, 0, 1, 13, 6, 7, 1, 31, 31, 8, 0, 4, 6, 0, 2, 1, 0, 8, 21, 0, 5, 0, 2, 11, 18, 18, 1, 4, 8, 2, 1, 21, 11, 11, 1, 0, 8, 31, 0, 0, 7, 7, 7, 11, 18, 0, 7, 7, 7, 9, 1, 6, 2, 3, 9, 8, 21, 17, 9, 1, 0, 5, 13, 6, 8, 8]
5,[0, 0, 0, 1, 33, 33, 0, 0, 49, 0, 12, 8, 0, 5, 1, 1, 1, 0, 0, 0, 0, 8, 6, 0, 31, 9, 8, 1, 31, 0, 0, 1, 1, 0, 8, 8, 0, 23, 0, 0, 0, 0, 0, 9, 33, 33, 33, 33, 25, 1, 8, 6, 0, 11, 6, 0, 6, 6, 0, 1, 0, 0, 1, 1, 23, 1, 0, 0, 0, 2, 2, 10, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31, 1, 33, 23, 1, 1, 0, 11, 31, 24, 24, 24, 24, 24, 4, 1]
7,[0, 0, 0, 0, 0, 0, 0, 0, 12, 31, 0, 0, 20, 1, 0, 0, 4, 1, 5, 5, 24, 0, 0, 0, 1, 33, 0, 0, 1, 0, 1, 12, 1, 8, 1, 6, 2, 8, 8, 8, 6, 1, 1, 1, 10, 11, 19, 19, 4, 1, 33, 0, 0, 2, 12, 11, 18, 2, 0, 5, 12, 1, 11, 40, 18, 41, 41, 0, 20, 20, 20, 20, 16, 1, 8, 6, 31, 18, 13, 1, 9, 9, 9, 9, 9, 19, 19, 19, 8, 7, 21, 21, 21, 9, 1, 20, 4, 1, 19, 6]
10,[10, 10, 5, 5, 49, 31, 5, 49, 31, 0, 1, 1, 5, 4, 8, 31, 31, 50, 50, 5, 8, 8, 0, 0, 5, 0, 7, 31, 14, 16, 6, 1, 10, 8, 10, 1, 5, 11, 0, 11, 11, 2, 7, 31, 22, 7, 13, 0, 1, 1, 5, 5, 12, 19, 28, 28, 5, 5, 5, 5, 5, 8, 13, 0, 24, 1, 8, 6, 0, 23, 2, 1, 3, 30, 0, 20, 4, 8, 12, 8, 7, 0, 8, 28, 31, 14, 2, 7, 1, 1, 5, 1, 1, 1, 4, 6, 14, 14, 14, 31]
13,[0, 0, 49, 1, 0, 2, 0, 12, 0, 2, 11, 0, 46, 0, 0, 16, 0, 29, 49, 11, 11, 1, 1, 0, 11, 11, 0, 0, 0, 0, 1, 2, 11, 6, 0, 30, 7, 12, 11, 1, 4, 9, 8, 2, 1, 0, 3, 11, 4, 4, 4, 4, 4, 1, 11, 16, 11, 1, 0, 0, 0, 0, 0, 2, 30, 2, 12, 16, 2, 16, 2, 4, 6, 18, 1, 2, 7, 7, 2, 0, 5, 2, 6, 0, 7, 0, 23, 0, 1, 5, 6, 0, 23, 7, 7, 4, 6, 5, 0, 0]
14,[19, 8, 8, 0, 0, 1, 19, 19, 19, 21, 17, 0, 1, 1, 11, 11, 11, 4, 24, 19, 8, 8, 27, 30, 1, 1, 42, 42, 7, 7, 2, 18, 6, 1, 1, 16, 4, 8, 7, 1, 19, 1, 8, 4, 0, 2, 1, 1, 2, 4, 0, 5, 19, 31, 7, 1, 8, 16, 8, 30, 30, 4, 4, 4, 31, 18, 0, 1, 31, 33, 7, 7, 7, 5, 8, 0, 31, 7, 7, 13, 7, 33, 6, 8, 35, 8, 21, 16, 1, 16, 16, 36, 0, 6, 8, 36, 9, 1, 1, 33]
